x,y,utc
913315.053053,574728.24778,1394681428.0
913315.053053,574728.24778,1394681503.0
913748.533654,575177.315819,1394681645.0
913273.22977,574775.387634,1394681753.0
913289.643648,574694.694304,1394681857.0
911627.319592,579306.459726,1394681897.0
913291.426962,574694.464282,1394682034.0
913289.168946,574689.616735,1394682274.0
914128.70831,575567.858595,1394682276.0
913341.915654,575481.42936,1394682563.0
913749.690992,575566.419814,1394682620.0
913750.783694,575564.197693,1394682629.0
913416.406275,574782.061659,1394682635.0
913862.962476,575812.732458,1394682663.0
913415.318185,574782.172973,1394682723.0
913418.948312,574778.929341,1394682806.0
914125.559868,575570.828526,1394682853.0
913546.413353,574827.220912,1394682910.0
911850.453284,579740.450719,1394683028.0
913184.826465,574761.764783,1394683222.0
913417.363318,574779.308481,1394683340.0
913727.145433,575225.408977,1394683717.0
913765.865671,575571.193117,1394683982.0
913756.042059,575193.699056,1394684201.0
913764.448215,575558.968374,1394684267.0
913764.328514,575569.630186,1394684280.0
913752.233716,575579.957997,1394684296.0
913758.064073,575170.15237,1394684318.0
913761.282289,575575.23654,1394684349.0
913771.072947,575557.319387,1394684425.0
913766.87626,575573.489053,1394684457.0
913489.320093,574940.248418,1394684555.0
913311.732988,574959.302971,1394684779.0
913750.779354,575574.426663,1394684857.0
913768.548478,575575.893913,1394684967.0
913868.71793,575170.974746,1394685056.0
911624.866157,579315.71445,1394685115.0
913495.236578,574926.43908,1394685211.0
913764.806335,575570.491621,1394685225.0
913483.910788,574940.534053,1394685396.0
913499.023405,574944.544237,1394685406.0
912425.230789,581003.878215,1394685470.0
913483.494246,574930.094473,1394685565.0
913709.773682,575209.887159,1394685610.0
913951.358075,575505.452996,1394685776.0
913747.69332,575585.552732,1394686059.0
913752.386431,575170.629417,1394686091.0
913756.346149,575559.745214,1394686122.0
913709.773682,575209.887159,1394686127.0
913709.773682,575209.887159,1394686156.0
913709.773682,575209.887159,1394686332.0
913789.072951,574930.896764,1394686698.0
913893.132409,575582.041091,1394687010.0
913750.403017,575199.973554,1394687171.0
911757.710416,579828.562654,1394687307.0
913750.350264,575182.009465,1394687434.0
911764.622568,579835.595704,1394687651.0
913757.676219,575495.689965,1394687816.0
913408.994167,574827.911064,1394687948.0
913432.670659,574908.814673,1394688225.0
913810.475811,574787.529648,1394688291.0
911638.875984,579303.399647,1394688931.0
913400.151319,574837.746684,1394688954.0
911623.4925,579309.5618,1394688991.0
913758.407156,575495.950029,1394689010.0
913756.634517,575496.469773,1394689018.0
911637.564274,579307.594929,1394689104.0
911614.575846,579315.024466,1394689273.0
911639.252718,579314.188901,1394689537.0
911643.767263,579308.033188,1394689578.0
911643.728061,579307.610064,1394689764.0
911647.860977,579303.636811,1394689841.0
913399.838934,574842.079999,1394690486.0
911542.959762,579161.284031,1394691689.0
911622.83431,579305.792073,1394691991.0
911625.979285,579305.045213,1394692379.0
911620.777523,579307.562192,1394692528.0
911624.225469,579306.681444,1394692641.0
913765.923855,575563.535925,1394692737.0
911620.289796,579316.90547,1394692866.0
913831.853277,575320.230542,1394692894.0
911628.876819,579314.000666,1394692963.0
911621.714087,579300.820173,1394693087.0
911646.359085,579305.240116,1394693154.0
911630.272081,579311.700969,1394693305.0
913757.734157,575496.02208,1394693400.0
911630.653482,579298.748719,1394693588.0
911611.777132,579313.975236,1394693822.0
911616.323306,579307.096684,1394694019.0
911644.249059,579309.066611,1394694183.0
911637.341274,579313.568546,1394694935.0
913757.890088,575500.288511,1394695489.0
914387.97053,574324.255896,1394695696.0
911613.683111,579307.184751,1394695846.0
914659.288005,574703.627322,1394696163.0
911629.039445,579292.837762,1394696418.0
911631.797149,579318.103697,1394697079.0
911632.997435,579303.198411,1394697230.0
911609.845854,579305.361072,1394697585.0
913811.310834,575492.245316,1394698148.0
913262.478046,574687.647383,1394699013.0
911624.991903,579310.650101,1394700745.0
913466.498823,574923.603646,1394702015.0
913466.617124,574923.881457,1394702032.0
914013.200537,575495.998947,1394704013.0
913481.86565,574895.749226,1394704284.0
913482.297264,574896.394032,1394704288.0
913482.297264,574896.394032,1394704316.0
913481.251242,574892.93882,1394704349.0
913380.32595,574788.733954,1394705307.0
913382.580691,574792.038073,1394705407.0
913668.377977,575009.09858,1394706153.0
913347.448444,575642.208003,1394707337.0
914068.504197,574552.921942,1394707339.0
911305.613964,579047.627599,1394708984.0
914570.988854,574790.486948,1394709370.0
913840.332832,575178.554044,1394709467.0
914407.278433,574885.359297,1394709812.0
914421.671766,574881.956955,1394710005.0
914421.851851,574880.977932,1394710212.0
914582.098435,574685.839276,1394710415.0
913758.80206,575505.00604,1394710630.0
913314.742138,574731.300815,1394710785.0
913314.181712,574731.499691,1394710819.0
914438.845015,575244.714381,1394711862.0
913486.69709,574941.230841,1394711876.0
913522.568475,574784.694135,1394711959.0
913292.06842,574694.510945,1394712019.0
914213.994372,575446.199263,1394712038.0
913523.184484,574781.908153,1394712128.0
913509.946581,574781.862081,1394712141.0
913509.946581,574781.862081,1394712166.0
913772.546948,575143.874784,1394712286.0
914442.352068,575241.165645,1394712436.0
914588.251336,574669.85599,1394712759.0
913659.30881,574943.739692,1394713052.0
914088.195572,574579.512911,1394713428.0
914090.218758,574578.10762,1394713918.0
913745.764636,574375.271972,1394714111.0
914567.652679,574700.704938,1394714238.0
914560.793372,574705.554038,1394714519.0
911854.524696,579750.601808,1394714709.0
914310.29897,574881.228332,1394714751.0
914560.793372,574705.554038,1394714796.0
913417.276904,574780.177766,1394714846.0
913311.950646,574693.802253,1394715063.0
913314.281414,574732.699095,1394715142.0
914440.570112,575248.227668,1394715254.0
914068.548814,574549.947276,1394715277.0
914563.297854,574701.483749,1394715321.0
914123.763404,574579.990668,1394715344.0
914331.76802,575298.026711,1394715856.0
913768.261575,575435.515897,1394715918.0
913748.330849,575312.422936,1394715957.0
914485.473417,574667.815693,1394716044.0
914445.166189,574760.915701,1394716253.0
913748.991373,574378.851138,1394716390.0
914068.375625,574550.437746,1394716663.0
914261.878694,575746.267401,1394716723.0
914395.531833,574897.155792,1394716747.0
914188.211448,575813.316648,1394716828.0
914575.986257,574669.974267,1394716994.0
914281.117618,574927.793787,1394717035.0
914291.078109,574835.224601,1394717049.0
914278.391097,574846.281073,1394717058.0
914425.372424,575038.518864,1394717113.0
914579.856638,574690.970498,1394717188.0
913302.137134,575738.885225,1394717203.0
913194.316026,574693.901907,1394717204.0
914298.367498,574344.777838,1394717205.0
913741.951768,575489.616122,1394717262.0
914229.865028,575718.824151,1394717279.0
914422.36854,575251.553801,1394717308.0
913838.229743,575190.261513,1394717393.0
913440.608026,575629.256239,1394717471.0
914387.301242,575233.782251,1394717594.0
914578.410046,574670.31765,1394717661.0
913744.857991,575518.726063,1394717682.0
914385.249719,575244.711282,1394717789.0
913712.153854,575244.208313,1394717794.0
914433.216195,575315.476913,1394717804.0
914622.161156,575034.653931,1394717841.0
914389.615802,575016.845165,1394718131.0
913661.156017,574854.39395,1394718173.0
914574.015801,574676.523994,1394718214.0
913730.080942,574857.284738,1394718453.0
914271.580536,574897.91041,1394718568.0
914388.395369,575030.656155,1394718890.0
914013.533313,574563.89409,1394719041.0
913711.688516,575093.612184,1394719071.0
913377.937042,574802.600751,1394719186.0
914421.973357,574879.130467,1394719237.0
913761.020211,575231.277344,1394719287.0
913477.475121,574815.967181,1394719450.0
913626.679707,574921.72113,1394719589.0
914559.248871,574706.454902,1394719721.0
911611.928603,579292.318186,1394719721.0
914476.974078,574778.874414,1394719912.0
913287.276542,574860.580953,1394719931.0
